,source,destion,20040810-0735
0,ATLAM5,ATLAng, 0.026667 
1,ATLAM5,CHINng, 0.348939 
2,ATLAM5,HSTNng, 0.065744 
3,ATLAM5,LOSAng, 0.033525 
4,ATLAM5,NYCMng, 0.026667 
5,ATLAM5,STTLng, 0.100000 
6,ATLAM5,WASHng, 0.739728 
7,ATLAng,CHINng, 4.483176 
8,ATLAng,DNVRng, 3.899968 
9,ATLAng,HSTNng, 8.254043 
10,ATLAng,IPLSng, 16.578208 
11,ATLAng,KSCYng, 1.696605 
12,ATLAng,LOSAng, 13.702885 
13,ATLAng,NYCMng, 7.116904 
14,ATLAng,SNVAng, 0.055091 
15,ATLAng,STTLng, 9.296125 
16,ATLAng,WASHng, 35.503483 
17,CHINng,ATLAM5, 0.185504 
18,CHINng,ATLAng, 11.043827 
19,CHINng,DNVRng, 3.969704 
20,CHINng,HSTNng, 17.962995 
21,CHINng,IPLSng, 32.823936 
22,CHINng,KSCYng, 19.877381 
23,CHINng,LOSAng, 30.059424 
24,CHINng,NYCMng, 14.858592 
25,CHINng,SNVAng, 0.521045 
26,CHINng,STTLng, 8.127605 
27,CHINng,WASHng, 12.037971 
28,DNVRng,ATLAM5, 0.136960 
29,DNVRng,ATLAng, 4.695949 
30,DNVRng,CHINng, 50.482933 
31,DNVRng,HSTNng, 24.263581 
32,DNVRng,IPLSng, 25.092819 
33,DNVRng,KSCYng, 25.390997 
34,DNVRng,LOSAng, 25.459448 
35,DNVRng,NYCMng, 11.481781 
36,DNVRng,SNVAng, 8.206213 
37,DNVRng,STTLng, 34.140323 
38,DNVRng,WASHng, 38.137187 
39,HSTNng,ATLAM5, 3.528256 
40,HSTNng,ATLAng, 1.531267 
41,HSTNng,CHINng, 13.322749 
42,HSTNng,DNVRng, 1.033653 
43,HSTNng,IPLSng, 0.600501 
44,HSTNng,KSCYng, 0.942096 
45,HSTNng,LOSAng, 3.233819 
46,HSTNng,NYCMng, 4.417605 
47,HSTNng,SNVAng, 0.176107 
48,HSTNng,STTLng, 5.353568 
49,HSTNng,WASHng, 1.261680 
50,IPLSng,ATLAng, 6.130749 
51,IPLSng,CHINng, 42.206117 
52,IPLSng,DNVRng, 6.815157 
53,IPLSng,HSTNng, 0.180800 
54,IPLSng,KSCYng, 1.919824 
55,IPLSng,LOSAng, 19.199307 
56,IPLSng,NYCMng, 10.930576 
57,IPLSng,SNVAng, 0.289808 
58,IPLSng,STTLng, 15.128725 
59,IPLSng,WASHng, 16.399435 
60,KSCYng,ATLAM5, 0.026667 
61,KSCYng,ATLAng, 2.621632 
62,KSCYng,CHINng, 15.082680 
63,KSCYng,DNVRng, 17.691464 
64,KSCYng,HSTNng, 5.021749 
65,KSCYng,IPLSng, 17.826933 
66,KSCYng,LOSAng, 3.398024 
67,KSCYng,NYCMng, 13.635957 
68,KSCYng,SNVAng, 2.247480 
69,KSCYng,STTLng, 2.657941 
70,KSCYng,WASHng, 5.760461 
71,LOSAng,ATLAng, 19.417592 
72,LOSAng,CHINng, 73.190117 
73,LOSAng,DNVRng, 9.410181 
74,LOSAng,HSTNng, 4.535093 
75,LOSAng,IPLSng, 7.461429 
76,LOSAng,KSCYng, 1.243896 
77,LOSAng,NYCMng, 34.620787 
78,LOSAng,SNVAng, 30.533576 
79,LOSAng,STTLng, 32.021765 
80,LOSAng,WASHng, 42.339512 
81,NYCMng,ATLAM5, 0.819968 
82,NYCMng,ATLAng, 8.633848 
83,NYCMng,CHINng, 34.136160 
84,NYCMng,DNVRng, 24.042219 
85,NYCMng,HSTNng, 7.276179 
86,NYCMng,IPLSng, 12.656427 
87,NYCMng,KSCYng, 5.498651 
88,NYCMng,LOSAng, 63.385552 
89,NYCMng,SNVAng, 0.822840 
90,NYCMng,STTLng, 28.437560 
91,NYCMng,WASHng, 122.679099 
92,SNVAng,DNVRng, 0.364496 
93,SNVAng,IPLSng, 0.255275 
94,SNVAng,KSCYng, 0.026667 
95,SNVAng,LOSAng, 38.354752 
96,SNVAng,NYCMng, 0.026667 
97,SNVAng,STTLng, 43.677021 
98,SNVAng,WASHng, 0.026667 
99,STTLng,ATLAng, 6.404077 
100,STTLng,CHINng, 21.669187 
101,STTLng,DNVRng, 3.796451 
102,STTLng,HSTNng, 4.426941 
103,STTLng,IPLSng, 5.921944 
104,STTLng,KSCYng, 2.593045 
105,STTLng,LOSAng, 16.750285 
106,STTLng,NYCMng, 5.684344 
107,STTLng,SNVAng, 11.187843 
108,STTLng,WASHng, 4.575221 
109,WASHng,ATLAM5, 0.323443 
110,WASHng,ATLAng, 70.181232 
111,WASHng,CHINng, 134.426189 
112,WASHng,DNVRng, 54.672544 
113,WASHng,HSTNng, 10.911744 
114,WASHng,IPLSng, 41.459568 
115,WASHng,KSCYng, 8.965915 
116,WASHng,LOSAng, 44.406560 
117,WASHng,NYCMng, 140.336581 
118,WASHng,SNVAng, 1.994683 
119,WASHng,STTLng, 42.402709 
