,source,destion,20050529-1200
0,at1.at,be1.be, 21.288033 
1,at1.at,ch1.ch, 95.716696 
2,at1.at,de1.de, 22.667949 
3,at1.at,es1.es, 2.198361 
4,at1.at,fr1.fr, 24.022616 
5,at1.at,gr1.gr, 0.588910 
6,at1.at,hr1.hr, 41.480063 
7,at1.at,hu1.hu, 38.501268 
8,at1.at,ie1.ie, 0.105771 
9,at1.at,il1.il, 2.710460 
10,at1.at,it1.it, 2.870156 
11,at1.at,nl1.nl, 4.786293 
12,at1.at,ny1.ny, 20.108133 
13,at1.at,pt1.pt, 0.215928 
14,at1.at,se1.se, 17.728313 
15,at1.at,si1.si, 20.322599 
16,at1.at,uk1.uk, 3.903968 
17,be1.be,at1.at, 91.717303 
18,be1.be,ch1.ch, 0.148001 
19,be1.be,cz1.cz, 0.547018 
20,be1.be,de1.de, 37.521494 
21,be1.be,es1.es, 1.205486 
22,be1.be,fr1.fr, 16.763666 
23,be1.be,gr1.gr, 0.099923 
24,be1.be,hr1.hr, 0.005398 
25,be1.be,hu1.hu, 7.050614 
26,be1.be,ie1.ie, 0.025023 
27,be1.be,il1.il, 0.171224 
28,be1.be,it1.it, 6.953277 
29,be1.be,nl1.nl, 3.972514 
30,be1.be,ny1.ny, 110.596558 
31,be1.be,pl1.pl, 10.206819 
32,be1.be,pt1.pt, 0.091038 
33,be1.be,se1.se, 64.921810 
34,be1.be,si1.si, 0.094693 
35,be1.be,sk1.sk, 0.011190 
36,be1.be,uk1.uk, 4.615912 
37,ch1.ch,at1.at, 146.266244 
38,ch1.ch,be1.be, 0.591890 
39,ch1.ch,cz1.cz, 11.490691 
40,ch1.ch,de1.de, 33.908298 
41,ch1.ch,es1.es, 54.444632 
42,ch1.ch,fr1.fr, 36.643499 
43,ch1.ch,gr1.gr, 25.516231 
44,ch1.ch,hr1.hr, 2.583264 
45,ch1.ch,hu1.hu, 4.505699 
46,ch1.ch,ie1.ie, 0.107458 
47,ch1.ch,il1.il, 3.634958 
48,ch1.ch,it1.it, 283.286380 
49,ch1.ch,nl1.nl, 35.614298 
50,ch1.ch,ny1.ny, 16.745222 
51,ch1.ch,pl1.pl, 43.274515 
52,ch1.ch,pt1.pt, 83.594359 
53,ch1.ch,se1.se, 101.529434 
54,ch1.ch,si1.si, 0.643454 
55,ch1.ch,sk1.sk, 9.608630 
56,ch1.ch,uk1.uk, 170.370564 
57,cz1.cz,be1.be, 0.996249 
58,cz1.cz,ch1.ch, 2.036528 
59,cz1.cz,de1.de, 5.585002 
60,cz1.cz,es1.es, 166.219066 
61,cz1.cz,fr1.fr, 8.013743 
62,cz1.cz,gr1.gr, 8.106749 
63,cz1.cz,hr1.hr, 0.004499 
64,cz1.cz,hu1.hu, 10.668983 
65,cz1.cz,ie1.ie, 0.014733 
66,cz1.cz,il1.il, 0.519802 
67,cz1.cz,it1.it, 0.428707 
68,cz1.cz,nl1.nl, 12.454607 
69,cz1.cz,ny1.ny, 31.578974 
70,cz1.cz,pt1.pt, 2.800542 
71,cz1.cz,se1.se, 41.136546 
72,cz1.cz,si1.si, 7.264349 
73,cz1.cz,uk1.uk, 12.703037 
74,de1.de,at1.at, 42.368798 
75,de1.de,be1.be, 26.191119 
76,de1.de,ch1.ch, 86.589292 
77,de1.de,cz1.cz, 46.124485 
78,de1.de,es1.es, 273.239090 
79,de1.de,fr1.fr, 43.524745 
80,de1.de,gr1.gr, 1698.186935 
81,de1.de,hr1.hr, 499.908006 
82,de1.de,hu1.hu, 1534.164713 
83,de1.de,ie1.ie, 0.414200 
84,de1.de,il1.il, 825.234006 
85,de1.de,it1.it, 109.846882 
86,de1.de,nl1.nl, 28.225622 
87,de1.de,ny1.ny, 281.417309 
88,de1.de,pl1.pl, 94.924791 
89,de1.de,pt1.pt, 1.602029 
90,de1.de,se1.se, 196.795436 
91,de1.de,si1.si, 2593.275977 
92,de1.de,sk1.sk, 0.820470 
93,de1.de,uk1.uk, 172.214387 
94,es1.es,at1.at, 1.984008 
95,es1.es,be1.be, 0.658299 
96,es1.es,ch1.ch, 31.209197 
97,es1.es,cz1.cz, 136.555160 
98,es1.es,de1.de, 228.246203 
99,es1.es,fr1.fr, 12.206009 
